ID	Richness	Shannon	Simpson	Pielou	Chao1	Group
SY01	32	1.764433488	0.646365096	0.509107889	32	CT1
SY02	25	0.416621528	0.160527847	0.129430755	25	CT1
SY03	28	0.438320018	0.163241676	0.131540551	28	CT1
SY04	25	0.748430046	0.427578198	0.232512867	25	CT1
SY05	26	0.793876334	0.463335686	0.243662619	26	CT1
SY06	37	0.555896934	0.203028327	0.153948926	37	CT1
SY07	28	1.127647997	0.580025236	0.338409	28	CT1
SY08	40	1.129986879	0.386242458	0.306322528	40	CT1
SY09	46	1.768107397	0.683700115	0.461810657	46	CT2
SY10	39	0.881198872	0.276766482	0.240530652	39	CT1
SY11	29	1.004943615	0.425723312	0.29844233	29	CT1
SY12	15	0.596094242	0.273283244	0.220119347	15	CT1
SY13	20	0.229657021	0.079304985	0.076661397	20	CT2
SY14	22	0.830922386	0.481455088	0.268816232	22	CT1
SY15	24	1.440762048	0.688418515	0.453347276	24	CT2
SY16	34	1.515215606	0.668850584	0.429682557	34	CT1
SY17	36	1.968011165	0.755424456	0.549183972	36	CT1
SY18	39	1.703559262	0.675024845	0.465000845	39	CT1
SY19	38	0.666158086	0.205832808	0.183131906	38	CT1
SY20	24	0.286772026	0.087007035	0.090235107	24	CT2
SY21	21	0.271627915	0.096544727	0.089218562	21	CT1
SY22	47	1.552516028	0.643517327	0.403235457	47	CT2
SY23	38	2.440219108	0.830047359	0.670834724	38	CT1
SY24	17	0.122663208	0.033259712	0.04329473	17	CT1
SY25	39	1.219406118	0.424280278	0.332847168	39	CT1
SY26	19	0.404308311	0.165040731	0.137312511	19	CT1
SY27	23	0.646050467	0.339705031	0.206044222	23	CT1
SY28	22	0.545724705	0.238215986	0.176550375	22	CT1
SY29	19	0.576541451	0.213843671	0.195806894	19	CT1
SY30	31	0.910577221	0.33855794	0.265166166	31	CT1
SY31	30	0.377578488	0.115354685	0.111013401	30	CT2
SY32	23	0.952755959	0.545070253	0.303861495	23	CT1
SY33	38	1.214397517	0.605232014	0.33384708	38	CT1
SY34	40	1.370569987	0.519968884	0.371541007	40	CT2
SY35	19	0.459827833	0.169628096	0.156168233	19	CT2
SY36	47	1.569389399	0.680868852	0.407617983	47	CT1
SY37	29	0.140612268	0.044555486	0.041758216	29	CT1
SY38	29	1.145302295	0.621282083	0.340125238	29	CT1
SY39	23	0.775525718	0.511233806	0.247337633	23	CT1
SY40	26	0.784652008	0.387257643	0.240831417	26	CT1
SY41	19	1.324961633	0.68524638	0.449987805	19	CT2
SY42	21	1.19779142	0.615057048	0.393425059	21	CT1
SY43	32	1.195471683	0.578549533	0.344940214	32	CT2
SY44	26	0.200317547	0.0751835	0.061482999	26	CT1
SY45	25	1.493743468	0.747134279	0.4640575	25	CT2
SY46	31	1.008590514	0.498024027	0.293708291	31	CT1
SY47	22	0.85343829	0.466069124	0.276100475	22	CT1
SY48	31	1.225148898	0.637789613	0.356771538	31	CT1
SY49	21	1.339289919	0.650287765	0.439901478	21	CT1
SY50	22	1.097102899	0.574633166	0.354929742	22	CT1
SY51	29	1.319581304	0.615696212	0.391881608	29	CT1
SY52	29	1.290529757	0.463268748	0.383254048	29	CT2
SY53	31	0.604482816	0.328135668	0.176029432	31	CT1
SY54	33	1.0323874	0.515109839	0.295262453	33	CT1
SY55	23	0.768197961	0.321560679	0.245000599	23	CT1
SY56	26	1.239332884	0.639426748	0.380385562	26	CT1
SY57	21	0.557292514	0.301423975	0.183047596	21	CT1
SY58	34	1.083980353	0.407233553	0.307393514	34	CT1
SY59	34	0.936558608	0.451964469	0.265587878	34	CT1
SY60	43	1.59585913	0.611618513	0.424295193	43	CT1
SY61	35	0.804811686	0.342976155	0.226366497	35	CT1
SY62	24	1.132150664	0.550679827	0.356240242	24	CT2
SY63	25	1.054868205	0.519008816	0.327713233	25	CT1
SY64	28	1.093963406	0.56415384	0.3283002	28	CT1
SY65	22	1.285552714	0.641156426	0.415896169	22	CT2
SY66	82	2.994386388	0.889364717	0.679504688	82	CT2
SY67	55	1.727146823	0.752141358	0.430996561	55	CT2
SY68	66	3.295898784	0.927688808	0.786675511	66	CT1
SY69	81	2.951225037	0.904189897	0.671580199	81	CT2
SY70	53	2.447747917	0.833888669	0.616515856	53	CT1
SY71	30	0.541054981	0.205624327	0.159077795	30	CT1
SY72	53	2.264234456	0.806249225	0.570294201	53	CT2
SY73	81	3.296080413	0.931575563	0.750055422	81	CT2
SY74	84	3.5815818	0.948260572	0.808334436	84	CT2
