ID	Genus	value	Group
SY01	Corynebacterium	0.57872496	CT1
SY01	Propionibacterium	0.013246081	CT1
SY01	Staphylococcus	0.065410285	CT1
SY01	Streptococcus	0.089171719	CT1
SY01	Lactobacillus	0	CT1
SY01	Alloiococcus	0.028949516	CT1
SY01	Prevotella	0.004779524	CT1
SY01	Haemophilus	0.018980909	CT1
SY01	Bacteroides	0	CT1
SY01	Porphyromonas	0.020346773	CT1
SY01	Fusobacterium	0.000819118	CT1
SY01	Stenotrophomonas	0	CT1
SY01	Moraxella	0.038236192	CT1
SY01	Anaerococcus	0.015293876	CT1
SY01	Sphingomonas	0.001638236	CT1
SY01	Peptoniphilus	0.022941315	CT1
SY01	others	0.101461495	CT1
SY02	Corynebacterium	0.914390069	CT1
SY02	Propionibacterium	0.003579415	CT1
SY02	Staphylococcus	0.006350737	CT1
SY02	Streptococcus	0.004064471	CT1
SY02	Lactobacillus	0	CT1
SY02	Alloiococcus	0.002656308	CT1
SY02	Prevotella	0.000208024	CT1
SY02	Haemophilus	0.00129315	CT1
SY02	Bacteroides	0	CT1
SY02	Porphyromonas	0	CT1
SY02	Fusobacterium	0	CT1
SY02	Stenotrophomonas	0	CT1
SY02	Moraxella	0.001201139	CT1
SY02	Anaerococcus	0.057181633	CT1
SY02	Sphingomonas	0.000300035	CT1
SY02	Peptoniphilus	0.0025863	CT1
SY02	others	0.006188718	CT1
SY03	Corynebacterium	0.91298007	CT1
SY03	Propionibacterium	0.003315981	CT1
SY03	Staphylococcus	0.056071776	CT1
SY03	Streptococcus	0.003935847	CT1
SY03	Lactobacillus	0	CT1
SY03	Alloiococcus	0.002291899	CT1
SY03	Prevotella	0.000269812	CT1
SY03	Haemophilus	0	CT1
SY03	Bacteroides	0.000188568	CT1
SY03	Porphyromonas	0.000592784	CT1
SY03	Fusobacterium	0	CT1
SY03	Stenotrophomonas	0	CT1
SY03	Moraxella	0.001132409	CT1
SY03	Anaerococcus	0.001995005	CT1
SY03	Sphingomonas	0.000215649	CT1
SY03	Peptoniphilus	0.001132409	CT1
SY03	others	0.015877792	CT1
SY04	Corynebacterium	0.707597257	CT1
SY04	Propionibacterium	0.001957092	CT1
SY04	Staphylococcus	0.004790225	CT1
SY04	Streptococcus	0.005820274	CT1
SY04	Lactobacillus	0	CT1
SY04	Alloiococcus	0.267677581	CT1
SY04	Prevotella	0.00022301	CT1
SY04	Haemophilus	0.001305061	CT1
SY04	Bacteroides	0	CT1
SY04	Porphyromonas	0.000481023	CT1
SY04	Fusobacterium	0	CT1
SY04	Stenotrophomonas	5.20E-05	CT1
SY04	Moraxella	0.001099052	CT1
SY04	Anaerococcus	0.002369111	CT1
SY04	Sphingomonas	0	CT1
SY04	Peptoniphilus	0.001013048	CT1
SY04	others	0.005615264	CT1
SY05	Corynebacterium	0.663688893	CT1
SY05	Propionibacterium	0.003185115	CT1
SY05	Staphylococcus	0.30999316	CT1
SY05	Streptococcus	0.006568236	CT1
SY05	Lactobacillus	0	CT1
SY05	Alloiococcus	0.002403087	CT1
SY05	Prevotella	0.000152005	CT1
SY05	Haemophilus	0.000513018	CT1
SY05	Bacteroides	0	CT1
SY05	Porphyromonas	0.00140005	CT1
SY05	Fusobacterium	0	CT1
SY05	Stenotrophomonas	0	CT1
SY05	Moraxella	0.001085039	CT1
SY05	Anaerococcus	0.002625095	CT1
SY05	Sphingomonas	0	CT1
SY05	Peptoniphilus	0.003161114	CT1
SY05	others	0.005225188	CT1
SY06	Corynebacterium	0.065181398	CT1
SY06	Propionibacterium	0.000385624	CT1
SY06	Staphylococcus	0.003958401	CT1
SY06	Streptococcus	0.002647281	CT1
SY06	Lactobacillus	0.001181911	CT1
SY06	Alloiococcus	0.002621239	CT1
SY06	Prevotella	0.890277579	CT1
SY06	Haemophilus	0.00231274	CT1
SY06	Bacteroides	0	CT1
SY06	Porphyromonas	0.00706843	CT1
SY06	Fusobacterium	0.002466989	CT1
SY06	Stenotrophomonas	0	CT1
SY06	Moraxella	0.000899454	CT1
SY06	Anaerococcus	0.001002621	CT1
SY06	Sphingomonas	0	CT1
SY06	Peptoniphilus	7.71E-05	CT1
SY06	others	0.019919209	CT1
SY07	Corynebacterium	0.41882683	CT1
SY07	Propionibacterium	0.030295875	CT1
SY07	Staphylococcus	0.493188427	CT1
SY07	Streptococcus	0.013169979	CT1
SY07	Lactobacillus	0	CT1
SY07	Alloiococcus	0.005007948	CT1
SY07	Prevotella	0.00010048	CT1
SY07	Haemophilus	0.003054607	CT1
SY07	Bacteroides	0	CT1
SY07	Porphyromonas	0.00180262	CT1
SY07	Fusobacterium	0.000250196	CT1
SY07	Stenotrophomonas	0	CT1
SY07	Moraxella	0.00185286	CT1
SY07	Anaerococcus	0.001552424	CT1
SY07	Sphingomonas	0	CT1
SY07	Peptoniphilus	0	CT1
SY07	others	0.030897753	CT1
SY08	Corynebacterium	0.780193281	CT1
SY08	Propionibacterium	0.002176732	CT1
SY08	Staphylococcus	0.041370261	CT1
SY08	Streptococcus	0.001109464	CT1
SY08	Lactobacillus	0.000962291	CT1
SY08	Alloiococcus	0.005314726	CT1
SY08	Prevotella	0.002365073	CT1
SY08	Haemophilus	0.000356099	CT1
SY08	Bacteroides	0	CT1
SY08	Porphyromonas	0.001297806	CT1
SY08	Fusobacterium	0	CT1
SY08	Stenotrophomonas	0.000125561	CT1
SY08	Moraxella	0.004226874	CT1
SY08	Anaerococcus	0.035426701	CT1
SY08	Sphingomonas	0.002071755	CT1
SY08	Peptoniphilus	0.035343337	CT1
SY08	others	0.087660039	CT1
SY09	Corynebacterium	0.277246949	CT2
SY09	Propionibacterium	0.013857503	CT2
SY09	Staphylococcus	0.483651074	CT2
SY09	Streptococcus	0.063617343	CT2
SY09	Lactobacillus	0	CT2
SY09	Alloiococcus	0.005396655	CT2
SY09	Prevotella	0.006632021	CT2
SY09	Haemophilus	0.015138287	CT2
SY09	Bacteroides	0	CT2
SY09	Porphyromonas	0.003156039	CT2
SY09	Fusobacterium	0.007409172	CT2
SY09	Stenotrophomonas	0.005853861	CT2
SY09	Moraxella	0.000639888	CT2
SY09	Anaerococcus	0.016281809	CT2
SY09	Sphingomonas	0.001051676	CT2
SY09	Peptoniphilus	0.006814702	CT2
SY09	others	0.093253021	CT2
SY10	Corynebacterium	0.849519467	CT1
SY10	Propionibacterium	0.010126484	CT1
SY10	Staphylococcus	0.026814652	CT1
SY10	Streptococcus	0.004153145	CT1
SY10	Lactobacillus	0.001025518	CT1
SY10	Alloiococcus	0.000436152	CT1
SY10	Prevotella	0.000281915	CT1
SY10	Haemophilus	0.001896801	CT1
SY10	Bacteroides	0	CT1
SY10	Porphyromonas	0.000666996	CT1
SY10	Fusobacterium	0	CT1
SY10	Stenotrophomonas	0	CT1
SY10	Moraxella	0.000179772	CT1
SY10	Anaerococcus	0.004435061	CT1
SY10	Sphingomonas	0.002973391	CT1
SY10	Peptoniphilus	0.006435026	CT1
SY10	others	0.09105562	CT1
SY11	Corynebacterium	0.742640337	CT1
SY11	Propionibacterium	0.027409783	CT1
SY11	Staphylococcus	0.144217121	CT1
SY11	Streptococcus	0.008863272	CT1
SY11	Lactobacillus	0	CT1
SY11	Alloiococcus	0.002844828	CT1
SY11	Prevotella	0	CT1
SY11	Haemophilus	0.00082097	CT1
SY11	Bacteroides	0	CT1
SY11	Porphyromonas	0	CT1
SY11	Fusobacterium	0.000218524	CT1
SY11	Stenotrophomonas	0	CT1
SY11	Moraxella	0.000984362	CT1
SY11	Anaerococcus	0.029270249	CT1
SY11	Sphingomonas	0	CT1
SY11	Peptoniphilus	0.007167201	CT1
SY11	others	0.035563352	CT1
SY12	Corynebacterium	0.844320192	CT1
SY12	Propionibacterium	0.013800869	CT1
SY12	Staphylococcus	0.00745547	CT1
SY12	Streptococcus	0.005266332	CT1
SY12	Lactobacillus	0	CT1
SY12	Alloiococcus	0.116338329	CT1
SY12	Prevotella	0	CT1
SY12	Haemophilus	0.003268206	CT1
SY12	Bacteroides	0	CT1
SY12	Porphyromonas	0.000730046	CT1
SY12	Fusobacterium	0	CT1
SY12	Stenotrophomonas	0	CT1
SY12	Moraxella	9.50E-05	CT1
SY12	Anaerococcus	0.003712234	CT1
SY12	Sphingomonas	0	CT1
SY12	Peptoniphilus	0.000381024	CT1
SY12	others	0.004632292	CT1
SY13	Corynebacterium	0.02445313	CT2
SY13	Propionibacterium	0.001613206	CT2
SY13	Staphylococcus	0.00554571	CT2
SY13	Streptococcus	0.959186776	CT2
SY13	Lactobacillus	0	CT2
