ID	X	Y	CommunityType	
SY01	SY01	-0.215668826	-0.116628409	CT1
SY02	SY02	-0.343372974	-0.114700094	CT1
SY03	SY03	-0.332746394	-0.166453178	CT1
SY04	SY04	-0.326488065	-0.133314921	CT1
SY05	SY05	-0.301439713	-0.184868239	CT1
SY06	SY06	0.252976195	-0.003568351	CT1
SY07	SY07	-0.176774557	-0.105591488	CT1
SY08	SY08	-0.315784899	-0.119861472	CT1
SY09	SY09	-0.019494176	-0.110694112	CT2
SY10	SY10	-0.324652437	-0.144352562	CT1
SY11	SY11	-0.323901316	-0.126634511	CT1
SY12	SY12	-0.340450298	-0.135864298	CT1
SY13	SY13	0.303464304	-0.022981824	CT2
SY14	SY14	-0.309716809	-0.128273118	CT1
SY15	SY15	0.375347478	-0.035204782	CT2
SY16	SY16	-0.191023209	-0.095219007	CT1
SY17	SY17	0.00120129	-0.088766204	CT1
SY18	SY18	-0.193758642	-0.11371049	CT1
SY19	SY19	-0.309569914	-0.160087198	CT1
SY20	SY20	0.30909036	-0.023856389	CT2
SY21	SY21	-0.338024082	-0.152029297	CT1
SY22	SY22	0.039240893	-0.144620252	CT2
SY23	SY23	-0.033910978	-0.017612816	CT1
SY24	SY24	-0.346930033	-0.14136685	CT1
SY25	SY25	-0.2824291	-0.161004299	CT1
SY26	SY26	-0.334519605	-0.168830647	CT1
SY27	SY27	-0.323630585	-0.189340126	CT1
SY28	SY28	-0.333291078	-0.151389243	CT1
SY29	SY29	-0.34711553	-0.115640845	CT1
SY30	SY30	0.177411525	-0.007704849	CT1
SY31	SY31	0.238813404	0.078164637	CT2
SY32	SY32	-0.206791044	-0.053834205	CT1
SY33	SY33	-0.256955479	-0.107670974	CT1
SY34	SY34	0.099110616	-0.142004688	CT2
SY35	SY35	0.173152583	-0.139824093	CT2
SY36	SY36	-0.232570983	-0.005959408	CT1
SY37	SY37	-0.347053678	-0.12840376	CT1
SY38	SY38	-0.194746171	0.421325045	CT1
SY39	SY39	-0.269784466	-0.076579677	CT1
SY40	SY40	-0.339184722	0.056824118	CT1
SY41	SY41	0.371955654	-0.022226833	CT2
SY42	SY42	-0.296954756	0.262034436	CT1
SY43	SY43	0.141318266	0.644955205	CT2
SY44	SY44	0.256012299	0.032962314	CT1
SY45	SY45	0.204248106	-0.062647067	CT2
SY46	SY46	-0.066080979	0.523344876	CT1
SY47	SY47	-0.289634064	0.060098004	CT1
SY48	SY48	-0.204062706	0.39889533	CT1
SY49	SY49	-0.160667351	0.433778978	CT1
SY50	SY50	-0.247374545	0.326025378	CT1
SY51	SY51	-0.180080728	0.384852273	CT1
SY52	SY52	0.234939937	0.628852551	CT2
SY53	SY53	-0.342002737	-0.144146474	CT1
SY54	SY54	-0.311078098	0.097675247	CT1
SY55	SY55	-0.352767058	-0.013670408	CT1
SY56	SY56	-0.143248479	0.074389477	CT1
SY57	SY57	-0.348327799	-0.133646187	CT1
SY58	SY58	-0.312517404	0.002480571	CT1
SY59	SY59	-0.311844591	0.118587851	CT1
SY60	SY60	-0.257282073	0.123548309	CT1
SY61	SY61	-0.329832203	0.025661101	CT1
SY62	SY62	0.066456905	0.354830137	CT2
SY63	SY63	-0.337388296	0.152127479	CT1
SY64	SY64	-0.176575968	0.379588045	CT1
SY65	SY65	0.402875801	-0.013125682	CT2
SY66	SY66	0.520511879	-0.047537381	CT2
SY67	SY67	0.332860815	-0.059348615	CT2
SY68	SY68	0.439473564	-0.052587425	CT1
SY69	SY69	0.446633179	-0.030522176	CT2
SY70	SY70	0.401870371	-0.01985463	CT1
SY71	SY71	0.372374816	0.007216944	CT1
SY72	SY72	0.490308913	-0.061236748	CT2
SY73	SY73	0.383832777	-0.109130862	CT2
SY74	SY74	0.502504682	-0.085654227	CT2
SY75	SY75	0.372857408	-0.074041835	CT1
SY76	SY76	0.486501725	-0.07385661	CT2
SY77	SY77	0.518037469	-0.05034248	CT1
SY78	SY78	0.478421243	-0.052291837	CT2
SY79	SY79	0.337599319	0.02108218	CT1
SY80	SY80	0.504717934	-0.05772802	CT2
SY81	SY81	0.499871371	-0.044605562	CT2
SY82	SY82	0.262265103	-0.069771753	CT1
SY83	SY83	0.55996157	-0.088871888	CT2
SY84	SY84	0.352769561	-0.05028925	CT2
SY85	SY85	0.448270661	-0.084972729	CT2
SY86	SY86	0.520239622	-0.072747134	CT2
