ID	x
SY01	8.995781788
SY02	2.952899871
SY03	2.468014266
SY04	1.929752687
SY05	1.395587913
SY06	1.239374452
SY07	0.972287472
SY08	0.815636319
SY09	0.784858535
SY10	0.717519343
SY11	0.542957385
SY12	0.484572245
SY13	0.451543571
SY14	0.386074467
SY15	0.32886359
SY16	0.283497003
SY17	0.242073388
SY18	0.220843661
SY19	0.207839604
SY20	0.192036704
SY21	0.188278465
SY22	0.170512886
SY23	0.150598839
SY24	0.137645541
SY25	0.120768563
SY26	0.10441151
SY27	0.099558261
SY28	0.098562389
SY29	0.091302161
SY30	0.072893458
SY31	0.062912063
SY32	0.06078492
SY33	0.058845966
SY34	0.049132473
SY35	0.043882898
SY36	0.034476466
SY37	0.027705864
SY38	0.021161238
SY39	0.017350749
SY40	0.014950001
SY41	0.012006582
SY42	0.011134545
SY43	0.008383691
SY44	0.006196943
SY45	0.004718793
SY46	0.003726548
SY47	0.002644733
SY48	0.001356527
SY49	0.000512959
SY50	0
SY51	-7.55E-05
SY52	-0.000451001
SY53	-0.000761959
SY54	-0.001315164
SY55	-0.00194798
SY56	-0.002675888
SY57	-0.003401028
SY58	-0.005270994
SY59	-0.006820099
SY60	-0.007296142
SY61	-0.007887263
SY62	-0.010246403
SY63	-0.010713023
SY64	-0.013226485
SY65	-0.013442593
SY66	-0.016294553
SY67	-0.018086832
SY68	-0.0234594
SY69	-0.023972399
SY70	-0.027062552
SY71	-0.03051755
SY72	-0.031721097
SY73	-0.035762195
SY74	-0.042333236
SY75	-0.045370157
SY76	-0.05161595
SY77	-0.058432112
SY78	-0.060822491
SY79	-0.06921853
SY80	-0.071427093
SY81	-0.082430675
SY82	-0.092093092
SY83	-0.100223112
SY84	-0.145315138
SY85	-0.197567329
SY86	-0.342448593
